,event,date,magnitude,lat,lon
12,"HARRISON Wildfire, Osage, Oklahoma",2026-04-09T13:08:00Z,4934.0,36.568752,-96.849207
13,"JOY Wildfire, Osage, Oklahoma",2026-04-09T11:29:00Z,5591.0,36.471122,-96.232358
15,"Rosindale Road Wildfire, Bladen, North Carolina",2026-04-09T10:20:00Z,762.0,34.435,-78.5313889
17,"HUGHEY Wildfire, Osage, Oklahoma",2026-04-09T09:15:00Z,1391.0,36.695248,-96.059996
21,"HC 1 Wildfire, San Miguel, New Mexico",2026-04-08T19:31:00Z,1415.0,35.68405,-104.67037
23,"SUNNY Wildfire, Osage, Oklahoma",2026-04-08T18:11:00Z,1259.0,36.779277,-96.225036
46,"MULL Wildfire, Osage, Oklahoma",2026-04-07T09:30:00Z,550.0,36.539489,-96.362972
52,"SUNNY SLOPES Wildfire, Osage, Oklahoma",2026-04-07T09:07:00Z,2304.0,36.463582,-96.616347
55,"Meadow View Wildfire, Potter, Texas",2026-04-06T20:45:00Z,1262.0,35.468784,-101.832244
63,"EASTER PASTURE Wildfire, Hendry, Florida",2026-04-05T22:32:00Z,562.0,26.4713889,-81.0269444
82,"Williams Creek Wildfire, Perry, Alabama",2026-04-04T23:23:00Z,1650.0,32.76539,-87.04236
113,"Hilux Wildfire, Collier, Florida",2026-04-03T15:54:00Z,511.0,26.228889,-81.279167
114,"SPRINGS Wildfire, Riverside, California",2026-04-03T14:19:00Z,4176.0,33.891678,-117.078415
116,"Sargent Wildfire, Polk, Florida",2026-04-02T17:18:00Z,2712.0,27.652481,-81.350623
120,"Julie Pond Wildfire, Dorchester, Maryland",2026-03-31T13:22:00Z,1500.0,38.396085,-75.97625
123,"Middle Toe Wildfire, Pittsburg, Oklahoma",2026-03-30T19:32:00Z,505.0,35.0475,-95.3977778
124,"Hall Thompson Lane Wildfire, Shelby, Alabama",2026-03-30T15:26:00Z,2500.0,33.4077778,-86.5408333
125,"Sweetwater Wildfire, Marengo, Alabama",2026-03-30T12:41:00Z,570.0,32.2358333,-87.915
132,"Lamar Bennett Trail Wildfire, Ware, Georgia",2026-03-29T21:00:00Z,1279.0,31.4411111,-82.5197222
133,"Cane Creek Wildfire, Wilkes, North Carolina",2026-03-29T18:16:00Z,600.0,36.31295,-81.1739
138,"Johnson Hills Wildfire, Phelps, Nebraska",2026-03-29T11:43:00Z,1200.0,40.496668,-99.615742
