event,date,magnitude,lat,lon,event_type
Iceberg B22H,2025-07-11 12:00:00+00:00,71.16,-73.71,-168.78,Iceberg
Iceberg B22H,2025-07-31 00:00:00+00:00,133.0,-73.22,-169.13,Iceberg
Iceberg B22H,2025-08-21 00:00:00+00:00,133.0,-72.46,-170.77,Iceberg
Iceberg B22H,2025-09-04 00:00:00+00:00,133.0,-72.05,-172.24,Iceberg
Iceberg B22H,2025-09-18 00:00:00+00:00,133.0,-71.78,-173.86,Iceberg
Iceberg B22H,2025-10-09 00:00:00+00:00,133.0,-71.46,-175.09,Iceberg
Iceberg B22H,2025-10-23 00:00:00+00:00,133.0,-71.23,-176.33,Iceberg
Iceberg B22H,2025-11-28 00:00:00+00:00,133.0,-71.04,-178.04,Iceberg
Iceberg B22H,2026-01-02 00:00:00+00:00,63.0,-71.47,-178.98,Iceberg
Iceberg B22H,2026-03-06 00:00:00+00:00,48.0,-71.91,-178.51,Iceberg
Iceberg B22H,2026-03-20 00:00:00+00:00,48.0,-72.28,-179.77,Iceberg
Iceberg B22H,2026-04-10 00:00:00+00:00,48.0,-72.46,178.02,Iceberg
Iceberg B22I,2025-07-11 00:00:00+00:00,31.06,-73.85,-168.96,Iceberg
Iceberg B22I,2025-08-08 00:00:00+00:00,45.0,-73.21,-168.97,Iceberg
Iceberg B22I,2025-08-21 00:00:00+00:00,45.0,-72.54,-170.25,Iceberg
Iceberg B22I,2025-08-28 00:00:00+00:00,45.0,-72.07,-170.32,Iceberg
Iceberg B22I,2025-09-04 00:00:00+00:00,45.0,-71.96,-172.39,Iceberg
Iceberg B22I,2025-09-11 00:00:00+00:00,45.0,-71.72,-173.67,Iceberg
Iceberg B22I,2025-10-16 00:00:00+00:00,45.0,-71.16,-175.21,Iceberg
Iceberg B22I,2025-10-31 00:00:00+00:00,45.0,-71.09,-177.12,Iceberg
Iceberg B22I,2025-11-21 00:00:00+00:00,45.0,-70.47,-177.14,Iceberg
Iceberg B22I,2025-11-28 00:00:00+00:00,45.0,-69.98,-178.16,Iceberg
Iceberg B22I,2025-12-05 00:00:00+00:00,45.0,-70.13,-179.71,Iceberg
Iceberg B22I,2026-01-02 00:00:00+00:00,45.0,-70.56,179.75,Iceberg
Iceberg B22I,2026-01-23 00:00:00+00:00,45.0,-70.55,-178.15,Iceberg
Iceberg B22I,2026-02-06 00:00:00+00:00,45.0,-70.0,-178.59,Iceberg
Iceberg B22I,2026-02-26 00:00:00+00:00,45.0,-69.52,-178.37,Iceberg
Iceberg B22F,2024-08-15 00:00:00+00:00,330.0,-72.61,-127.41,Iceberg
Iceberg B22F,2024-12-13 00:00:00+00:00,330.0,-74.12,-140.7,Iceberg
Iceberg B22F,2024-12-26 00:00:00+00:00,330.0,-74.37,-143.13,Iceberg
Iceberg B22F,2025-01-02 00:00:00+00:00,330.0,-74.74,-145.92,Iceberg
Iceberg B22F,2025-01-31 00:00:00+00:00,330.0,-74.89,-148.32,Iceberg
Iceberg B22F,2025-02-14 00:00:00+00:00,330.0,-75.2,-150.91,Iceberg
Iceberg B22F,2025-03-06 00:00:00+00:00,330.0,-75.24,-153.12,Iceberg
Iceberg B22F,2025-03-13 00:00:00+00:00,330.0,-75.65,-154.11,Iceberg
Iceberg B22F,2025-03-27 00:00:00+00:00,330.0,-75.88,-155.71,Iceberg
Iceberg B22F,2025-04-11 00:00:00+00:00,330.0,-75.63,-157.47,Iceberg
Iceberg B22F,2025-05-09 00:00:00+00:00,330.0,-75.39,-160.1,Iceberg
Iceberg B22F,2025-05-22 00:00:00+00:00,330.0,-74.93,-161.44,Iceberg
Iceberg B22F,2025-06-05 00:00:00+00:00,330.0,-74.75,-163.27,Iceberg
Iceberg B22F,2025-06-12 00:00:00+00:00,330.0,-74.38,-165.79,Iceberg
Iceberg B22F,2025-06-27 00:00:00+00:00,330.0,-73.88,-167.33,Iceberg
Iceberg B22F,2025-07-11 00:00:00+00:00,330.0,-73.67,-169.21,Iceberg
Iceberg B22F,2025-07-31 00:00:00+00:00,112.0,-73.23,-169.59,Iceberg
Iceberg B22F,2025-08-21 00:00:00+00:00,112.0,-72.62,-170.96,Iceberg
Iceberg B22F,2025-09-04 00:00:00+00:00,112.0,-72.21,-171.89,Iceberg
Iceberg B22F,2025-09-11 00:00:00+00:00,112.0,-72.3,-173.36,Iceberg
Iceberg B22F,2025-10-09 00:00:00+00:00,112.0,-71.31,-173.77,Iceberg
Iceberg B22F,2025-10-16 00:00:00+00:00,112.0,-70.81,-174.64,Iceberg
Iceberg B22F,2025-10-31 00:00:00+00:00,112.0,-70.28,-177.13,Iceberg
Iceberg B22F,2025-11-14 00:00:00+00:00,112.0,-69.89,-177.85,Iceberg
Iceberg B22F,2025-11-28 00:00:00+00:00,112.0,-69.24,-177.84,Iceberg
Iceberg B22F,2025-12-26 00:00:00+00:00,112.0,-68.86,-176.57,Iceberg
Iceberg B22F,2026-01-02 00:00:00+00:00,112.0,-68.3,-176.74,Iceberg
Iceberg B22F,2026-02-19 00:00:00+00:00,112.0,-67.68,-177.25,Iceberg
Iceberg B22F,2026-03-06 00:00:00+00:00,98.0,-67.31,-178.77,Iceberg
Iceberg B22F,2026-03-26 00:00:00+00:00,98.0,-67.09,-179.86,Iceberg
Iceberg B22F,2026-04-10 00:00:00+00:00,98.0,-67.58,179.79,Iceberg
Iceberg B22G,2024-08-15 00:00:00+00:00,45.0,-72.46,-127.08,Iceberg
Iceberg B22G,2024-12-13 00:00:00+00:00,45.0,-74.03,-137.53,Iceberg
Iceberg B22G,2025-01-02 00:00:00+00:00,45.0,-74.36,-139.07,Iceberg
Iceberg B22G,2025-01-23 00:00:00+00:00,45.0,-74.53,-141.7,Iceberg
Iceberg B22G,2025-02-21 00:00:00+00:00,45.0,-74.62,-143.61,Iceberg
Iceberg B22G,2025-03-06 00:00:00+00:00,45.0,-75.38,-148.24,Iceberg
Iceberg B22G,2025-03-21 00:00:00+00:00,45.0,-75.35,-152.73,Iceberg
Iceberg B22G,2025-04-04 00:00:00+00:00,45.0,-75.34,-154.86,Iceberg
Iceberg B22G,2025-05-02 00:00:00+00:00,45.0,-74.88,-156.3,Iceberg
Iceberg B22G,2025-05-16 00:00:00+00:00,45.0,-74.38,-157.83,Iceberg
Iceberg B22G,2025-05-22 00:00:00+00:00,45.0,-74.0,-158.76,Iceberg
Iceberg B22G,2025-06-05 00:00:00+00:00,45.0,-73.79,-161.08,Iceberg
Iceberg B22G,2025-06-12 00:00:00+00:00,45.0,-73.35,-163.06,Iceberg
Iceberg B22G,2025-06-27 00:00:00+00:00,45.0,-72.55,-163.83,Iceberg
Iceberg B22G,2025-07-18 00:00:00+00:00,45.0,-72.14,-162.07,Iceberg
Iceberg B22G,2025-07-31 00:00:00+00:00,45.0,-71.52,-162.34,Iceberg
Iceberg B22G,2025-08-08 00:00:00+00:00,45.0,-71.28,-160.83,Iceberg
Iceberg B22G,2025-08-14 00:00:00+00:00,45.0,-71.07,-162.22,Iceberg
Iceberg B22G,2025-08-28 00:00:00+00:00,45.0,-70.61,-161.82,Iceberg
Iceberg B22G,2025-09-11 00:00:00+00:00,45.0,-71.05,-160.39,Iceberg
Iceberg B22G,2025-09-18 00:00:00+00:00,45.0,-71.25,-162.1,Iceberg
Iceberg B22G,2025-10-09 00:00:00+00:00,45.0,-70.25,-160.55,Iceberg
Iceberg B22G,2025-10-16 00:00:00+00:00,45.0,-70.09,-159.26,Iceberg
Iceberg B22G,2025-11-14 00:00:00+00:00,45.0,-69.62,-161.18,Iceberg
Iceberg B22G,2025-12-18 00:00:00+00:00,45.0,-69.43,-159.78,Iceberg
Iceberg B22G,2026-02-26 00:00:00+00:00,45.0,-68.77,-159.71,Iceberg
Iceberg B09G,2019-03-12 00:00:00+00:00,,-67.97,41.71,Iceberg
Iceberg B15AB,2019-03-12 00:00:00+00:00,,-65.98,51.31,Iceberg
Iceberg B15AB,2023-02-24 00:00:00+00:00,44.0,-66.13,49.16,Iceberg
Iceberg B15AB,2023-03-10 00:00:00+00:00,44.0,-66.98,45.05,Iceberg
Iceberg B15AB,2023-03-24 00:00:00+00:00,44.0,-66.36,45.27,Iceberg
Iceberg B15AB,2023-03-31 00:00:00+00:00,44.0,-67.03,44.44,Iceberg
Iceberg B15AB,2023-04-14 00:00:00+00:00,44.0,-67.54,42.52,Iceberg
Iceberg B15AB,2023-04-21 00:00:00+00:00,44.0,-68.33,36.62,Iceberg
Iceberg B15AB,2023-04-28 00:00:00+00:00,44.0,-68.02,34.09,Iceberg
Iceberg B15AB,2023-05-05 00:00:00+00:00,44.0,-68.53,31.9,Iceberg
Iceberg B15AB,2023-05-12 00:00:00+00:00,44.0,-69.43,28.01,Iceberg
Iceberg B15AB,2023-05-19 00:00:00+00:00,44.0,-69.78,21.09,Iceberg
Iceberg B15AB,2023-05-26 00:00:00+00:00,44.0,-69.28,16.36,Iceberg
Iceberg B15AB,2023-06-02 00:00:00+00:00,44.0,-69.44,13.05,Iceberg
Iceberg B15AB,2023-06-09 00:00:00+00:00,44.0,-69.68,10.96,Iceberg
Iceberg B15AB,2023-06-15 00:00:00+00:00,44.0,-69.81,7.57,Iceberg
Iceberg B15AB,2023-06-23 00:00:00+00:00,44.0,-69.44,13.05,Iceberg
Iceberg B15AB,2023-06-30 00:00:00+00:00,44.0,-69.94,-2.42,Iceberg
Iceberg B15AB,2023-07-07 00:00:00+00:00,44.0,-70.15,-7.07,Iceberg
