event,date,magnitude,lat,lon
Iceberg D15C,2026-02-13T00:00:00Z,56.17,-66.84,81.05
Iceberg D37,2025-02-21T00:00:00Z,210.0,-69.22,36.34
Iceberg D33C,2024-04-19T00:00:00Z,,-75.52,-20.02
Iceberg D33C,2024-12-13T00:00:00Z,105.0,-71.34,-53.96
Iceberg D33C,2025-01-10T00:00:00Z,105.0,-70.63,-55.73
Iceberg D33C,2025-02-14T00:00:00Z,105.0,-70.73,-57.47
Iceberg D33C,2025-03-27T00:00:00Z,105.0,-70.13,-57.93
Iceberg D33C,2025-04-24T00:00:00Z,105.0,-69.66,-58.36
Iceberg D33C,2025-07-04T00:00:00Z,105.0,-69.18,-58.53
Iceberg D33C,2025-07-31T00:00:00Z,105.0,-68.5,-58.31
Iceberg D33C,2025-08-21T00:00:00Z,105.0,-67.9,-58.42
Iceberg D33C,2025-09-18T00:00:00Z,105.0,-67.39,-58.3
Iceberg D33C,2025-10-16T00:00:00Z,105.0,-66.61,-58.34
Iceberg D33C,2025-11-14T00:00:00Z,105.0,-66.14,-58.17
Iceberg D35,2024-01-11T00:00:00Z,168.0,-69.83,21.01
Iceberg D35,2024-01-18T00:00:00Z,168.0,-69.29,18.24
Iceberg D35,2024-02-02T00:00:00Z,168.0,-69.53,16.63
Iceberg D35,2024-03-01T00:00:00Z,168.0,-69.36,12.63
Iceberg D35,2024-03-07T00:00:00Z,168.0,-69.55,11.39
Iceberg D35,2024-03-15T00:00:00Z,168.0,-69.77,6.81
Iceberg D35,2024-03-22T00:00:00Z,168.0,-69.36,12.63
Iceberg D35,2024-03-29T00:00:00Z,168.0,-69.95,2.31
Iceberg D35,2024-04-05T00:00:00Z,168.0,-69.69,-1.79
Iceberg D35,2024-04-12T00:00:00Z,168.0,-70.01,-5.22
Iceberg D35,2024-12-13T00:00:00Z,168.0,-74.57,-27.82
Iceberg D35,2025-04-04T00:00:00Z,168.0,-74.62,-30.73
Iceberg D35,2025-04-24T00:00:00Z,168.0,-74.14,-31.03
Iceberg D35,2025-05-29T00:00:00Z,168.0,-73.51,-32.13
Iceberg D35,2025-06-05T00:00:00Z,168.0,-72.73,-31.99
Iceberg D35,2025-06-12T00:00:00Z,168.0,-71.97,-32.52
Iceberg D35,2025-07-18T00:00:00Z,168.0,-71.89,-34.34
Iceberg D35,2025-07-31T00:00:00Z,168.0,-72.29,-35.4
Iceberg D35,2025-08-14T00:00:00Z,168.0,-71.87,-37.49
Iceberg D35,2025-08-21T00:00:00Z,168.0,-71.3,-38.79
Iceberg D35,2025-08-28T00:00:00Z,168.0,-70.51,-39.24
Iceberg D35,2025-09-11T00:00:00Z,168.0,-69.3,-40.02
Iceberg D35,2025-09-26T00:00:00Z,168.0,-68.69,-40.24
Iceberg D35,2025-10-16T00:00:00Z,168.0,-68.54,-41.71
Iceberg D35,2025-11-14T00:00:00Z,168.0,-68.51,-43.35
Iceberg D35,2025-11-28T00:00:00Z,168.0,-68.23,-44.78
Iceberg D35,2026-01-02T00:00:00Z,168.0,-68.28,-46.42
Iceberg D35,2026-01-09T00:00:00Z,168.0,-67.73,-46.79
Iceberg D35,2026-01-23T00:00:00Z,168.0,-67.15,-47.25
Iceberg D35,2026-02-13T00:00:00Z,168.0,-66.37,-47.97
Iceberg D35,2026-03-13T00:00:00Z,168.0,-65.87,-48.19
Iceberg D35,2026-04-03T00:00:00Z,168.0,-65.34,-48.55
Iceberg D34,2023-10-20T00:00:00Z,88.0,-67.18,82.12
Iceberg D33A,2023-09-08T00:00:00Z,340.0,-69.38,17.14
Iceberg D33A,2023-09-15T00:00:00Z,340.0,-69.23,14.37
Iceberg D33A,2023-09-22T00:00:00Z,340.0,-69.37,13.16
Iceberg D33A,2023-09-30T00:00:00Z,340.0,-69.58,11.84
Iceberg D33A,2023-10-26T00:00:00Z,340.0,-69.71,10.18
Iceberg D33A,2023-11-09T00:00:00Z,340.0,-69.67,7.25
Iceberg D33A,2023-11-24T00:00:00Z,340.0,-69.66,5.51
Iceberg D33A,2023-12-08T00:00:00Z,340.0,-69.58,1.4
Iceberg D33A,2023-12-15T00:00:00Z,340.0,-69.4,-0.74
Iceberg D33A,2023-12-21T00:00:00Z,340.0,-69.6,-1.94
Iceberg D33A,2023-12-28T00:00:00Z,340.0,-69.85,-3.64
Iceberg D33A,2024-01-04T00:00:00Z,340.0,-70.07,-5.14
Iceberg D33A,2024-01-18T00:00:00Z,340.0,-70.06,-8.04
Iceberg D33A,2024-02-02T00:00:00Z,340.0,-70.56,-10.27
Iceberg D33A,2024-02-16T00:00:00Z,340.0,-71.06,-12.94
Iceberg D33A,2024-02-23T00:00:00Z,340.0,-71.49,-14.77
Iceberg D33A,2024-03-01T00:00:00Z,340.0,-72.18,-17.62
Iceberg D33A,2024-03-07T00:00:00Z,340.0,-72.57,-19.7
Iceberg D33A,2024-03-15T00:00:00Z,340.0,-73.22,-21.86
Iceberg D33A,2024-03-22T00:00:00Z,340.0,-72.18,-17.62
Iceberg D33A,2024-03-29T00:00:00Z,340.0,-74.24,-26.96
Iceberg D33A,2024-12-13T00:00:00Z,340.0,-70.58,-55.49
Iceberg D33A,2025-01-10T00:00:00Z,340.0,-70.2,-56.26
Iceberg D33A,2025-03-21T00:00:00Z,340.0,-69.78,-57.35
Iceberg D33A,2025-04-11T00:00:00Z,340.0,-69.34,-57.06
Iceberg D33A,2025-07-04T00:00:00Z,340.0,-68.89,-57.32
Iceberg D33A,2025-07-31T00:00:00Z,340.0,-68.35,-57.11
Iceberg D33A,2025-08-21T00:00:00Z,340.0,-67.73,-57.17
Iceberg D33A,2025-09-11T00:00:00Z,340.0,-67.2,-57.35
Iceberg D33A,2025-10-09T00:00:00Z,340.0,-66.59,-57.21
Iceberg D33A,2025-10-23T00:00:00Z,340.0,-66.08,-57.22
Iceberg D33A,2025-11-14T00:00:00Z,340.0,-65.54,-57.08
Iceberg D33B,2023-09-08T00:00:00Z,252.0,-69.64,18.3
Iceberg D33B,2023-09-15T00:00:00Z,252.0,-69.45,16.6
Iceberg D33B,2023-09-30T00:00:00Z,252.0,-69.3,13.66
Iceberg D33B,2023-10-26T00:00:00Z,252.0,-69.47,12.22
Iceberg D33B,2023-12-08T00:00:00Z,252.0,-69.61,9.8
Iceberg D33B,2023-12-15T00:00:00Z,252.0,-69.68,8.01
Iceberg D33B,2023-12-28T00:00:00Z,252.0,-69.94,4.38
Iceberg D33B,2024-01-04T00:00:00Z,252.0,-69.84,1.94
Iceberg D33B,2024-01-18T00:00:00Z,252.0,-69.22,-2.03
Iceberg D33B,2024-02-08T00:00:00Z,252.0,-69.6,-3.15
Iceberg D33B,2024-02-23T00:00:00Z,252.0,-70.16,-4.61
Iceberg D33B,2024-03-01T00:00:00Z,252.0,-70.29,-7.49
