event,date,magnitude,lat,lon
Super Typhoon Sinlaku,2026-04-09T18:00:00Z,35.0,8.3,151.5
Super Typhoon Sinlaku,2026-04-10T00:00:00Z,40.0,8.2,151.2
Super Typhoon Sinlaku,2026-04-10T06:00:00Z,45.0,8.2,151.0
Super Typhoon Sinlaku,2026-04-10T12:00:00Z,55.0,8.1,150.9
Super Typhoon Sinlaku,2026-04-10T18:00:00Z,60.0,8.0,151.0
Super Typhoon Sinlaku,2026-04-11T00:00:00Z,75.0,8.5,151.5
Super Typhoon Sinlaku,2026-04-11T06:00:00Z,80.0,8.8,151.4
Super Typhoon Sinlaku,2026-04-11T12:00:00Z,85.0,9.0,151.1
Super Typhoon Sinlaku,2026-04-11T18:00:00Z,95.0,9.3,151.5
Super Typhoon Sinlaku,2026-04-12T00:00:00Z,110.0,9.9,151.2
Super Typhoon Sinlaku,2026-04-12T06:00:00Z,130.0,10.3,150.6
