Event_type,lat,lon,magnitude,year,month,day,hour,dayofweek,cluster
Typhoon,8.3,151.5,35.0,2026,4,9,18,3,0
Typhoon,8.2,151.2,40.0,2026,4,10,0,4,0
Typhoon,8.2,151.0,45.0,2026,4,10,6,4,0
Typhoon,8.1,150.9,55.0,2026,4,10,12,4,0
Typhoon,8.0,151.0,60.0,2026,4,10,18,4,0
Typhoon,8.5,151.5,75.0,2026,4,11,0,5,0
Typhoon,8.8,151.4,80.0,2026,4,11,6,5,0
Typhoon,9.0,151.1,85.0,2026,4,11,12,5,0
Typhoon,9.3,151.5,95.0,2026,4,11,18,5,0
Typhoon,9.9,151.2,110.0,2026,4,12,0,6,0
Typhoon,10.3,150.6,130.0,2026,4,12,6,6,0
Other,42.9227232,-88.483243,1375.5,2026,4,9,15,3,1
Wildfire,36.568752,-96.849207,4934.0,2026,4,9,13,3,1
Wildfire,36.471122,-96.232358,5591.0,2026,4,9,11,3,1
Other,31.56518,-95.13378,500.0,2026,4,9,10,3,1
Wildfire,34.435,-78.5313889,762.0,2026,4,9,10,3,1
Other,35.95415,-92.167783,1215.0,2026,4,9,9,3,1
Wildfire,36.695248,-96.059996,1391.0,2026,4,9,9,3,1
Other,31.5102,-88.8983,582.0,2026,4,9,9,3,1
Other,31.142233,-92.634817,765.0,2026,4,9,8,3,1
Other,33.655288,-83.27194,878.0,2026,4,9,8,3,1
Wildfire,35.68405,-104.67037,1415.0,2026,4,8,19,2,1
Other,30.492511,-94.638858,500.0,2026,4,8,19,2,1
Wildfire,36.779277,-96.225036,1259.0,2026,4,8,18,2,1
Other,38.2051,-86.6266,1279.0,2026,4,8,11,2,1
Other,35.1749,-93.426325,810.0,2026,4,8,10,2,1
Other,31.05635,-88.859583,1360.0,2026,4,8,10,2,1
Other,32.5163,-89.6524,1860.0,2026,4,8,10,2,1
Other,34.8459,-89.0287,933.0,2026,4,8,10,2,1
Other,31.402,-90.984,985.0,2026,4,8,9,2,1
Other,31.174617,-93.626833,3645.0,2026,4,8,9,2,1
Other,30.529633,-95.652333,2802.0,2026,4,8,9,2,1
Other,30.536367,-95.569167,783.0,2026,4,8,8,2,1
Other,34.761897,-94.096898,1602.0,2026,4,8,8,2,1
Other,35.734,-93.9,1359.0,2026,4,8,8,2,1
Other,34.933333,-93.666667,3441.0,2026,4,8,8,2,1
Other,35.845119,-93.523297,1747.0,2026,4,8,8,2,1
Other,33.155833,-86.091944,545.0,2026,4,7,20,1,1
Other,33.407033,-83.376383,1178.0,2026,4,7,17,1,1
Other,46.164317,-113.877617,800.0,2026,4,7,13,1,1
Other,31.635,-90.73,808.0,2026,4,7,10,1,1
Other,32.4037,-89.5682,1296.0,2026,4,7,10,1,1
Other,32.4098,-89.6599,778.0,2026,4,7,10,1,1
Other,34.7893,-89.2329,518.0,2026,4,7,10,1,1
Other,35.6695,-94.3093,1321.0,2026,4,7,9,1,1
Other,35.218256,-93.395096,2016.0,2026,4,7,9,1,1
Wildfire,36.539489,-96.362972,550.0,2026,4,7,9,1,1
Other,34.783517,-94.254627,4456.0,2026,4,7,9,1,1
Other,30.52045,-95.728667,1585.0,2026,4,7,9,1,1
Other,34.525556,-93.738056,2294.0,2026,4,7,9,1,1
Other,30.524133,-95.57925,712.0,2026,4,7,9,1,1
Other,35.808903,-93.464358,951.0,2026,4,7,9,1,1
Wildfire,36.463582,-96.616347,2304.0,2026,4,7,9,1,1
Other,31.197633,-92.562217,1593.0,2026,4,7,9,1,1
Other,34.671333,-93.484417,1463.0,2026,4,7,8,1,1
Wildfire,35.468784,-101.832244,1262.0,2026,4,6,20,0,1
Other,43.0403647,-88.3992015,638.0,2026,4,6,20,0,1
Other,36.969,-84.229,1887.0,2026,4,6,17,0,1
Other,33.36415,-83.464333,1742.0,2026,4,6,11,0,1
Other,33.198667,-83.505083,1682.0,2026,4,6,11,0,1
Other,34.766957,-94.260589,806.0,2026,4,6,10,0,1
Other,34.524444,-93.649722,777.0,2026,4,6,9,0,1
Other,34.49759,-89.382263,2113.0,2026,4,6,9,0,1
Wildfire,26.4713889,-81.0269444,562.0,2026,4,5,22,6,1
Cyclone,-13.8,171.8,40.0,2026,4,5,0,6,2
Cyclone,-14.5,172.3,55.0,2026,4,5,6,6,2
Cyclone,-14.9,172.4,60.0,2026,4,5,12,6,2
Cyclone,-15.1,172.6,75.0,2026,4,5,18,6,2
Cyclone,-15.7,173.1,80.0,2026,4,6,0,0,2
Cyclone,-16.1,173.6,90.0,2026,4,6,6,0,2
Cyclone,-16.5,173.8,95.0,2026,4,6,12,0,2
Cyclone,-17.1,174.4,95.0,2026,4,6,18,0,2
Cyclone,-18.1,174.8,100.0,2026,4,7,0,1,-1
Cyclone,-19.2,175.3,100.0,2026,4,7,6,1,-1
Cyclone,-20.0,175.9,95.0,2026,4,7,12,1,-1
Cyclone,-21.1,177.0,90.0,2026,4,7,18,1,-1
Cyclone,-22.2,177.4,80.0,2026,4,8,0,2,-1
Cyclone,-23.4,177.8,75.0,2026,4,8,6,2,-1
Cyclone,-24.4,178.4,75.0,2026,4,8,12,2,-1
Cyclone,-25.4,178.5,60.0,2026,4,8,18,2,-1
Cyclone,-26.2,178.8,55.0,2026,4,9,0,3,-1
Cyclone,-26.8,179.0,55.0,2026,4,9,6,3,-1
Wildfire,32.76539,-87.04236,1650.0,2026,4,4,23,5,1
Cyclone,-9.1,155.1,35.0,2026,4,4,0,5,3
Cyclone,-9.1,154.9,40.0,2026,4,4,6,5,3
Cyclone,-9.0,154.7,50.0,2026,4,4,12,5,3
Cyclone,-8.9,154.4,60.0,2026,4,4,18,5,3
Cyclone,-8.8,154.2,65.0,2026,4,5,0,6,3
Cyclone,-9.2,154.4,65.0,2026,4,5,6,6,3
Cyclone,-9.3,154.6,75.0,2026,4,5,12,6,3
Cyclone,-9.5,154.6,85.0,2026,4,5,18,6,3
Cyclone,-9.5,154.7,90.0,2026,4,6,0,0,3
Cyclone,-9.7,155.3,85.0,2026,4,6,6,0,3
Cyclone,-9.7,155.5,95.0,2026,4,6,12,0,3
Cyclone,-9.9,156.1,90.0,2026,4,6,18,0,3
Cyclone,-9.9,156.4,90.0,2026,4,7,0,1,3
Cyclone,-9.9,156.5,100.0,2026,4,7,6,1,3
Cyclone,-9.7,156.3,110.0,2026,4,7,12,1,3
Cyclone,-9.5,156.0,125.0,2026,4,7,18,1,3
Cyclone,-9.0,155.9,115.0,2026,4,8,0,2,3
Cyclone,-8.6,155.9,110.0,2026,4,8,6,2,3
Cyclone,-8.6,155.7,105.0,2026,4,8,12,2,3
Cyclone,-8.6,155.5,100.0,2026,4,8,18,2,3
Cyclone,-8.5,155.1,100.0,2026,4,9,0,3,3
Cyclone,-8.5,154.7,95.0,2026,4,9,6,3,3
Cyclone,-8.3,154.4,85.0,2026,4,9,12,3,3
Cyclone,-8.2,154.4,80.0,2026,4,9,18,3,3
Cyclone,-8.1,154.6,70.0,2026,4,10,0,4,3
Cyclone,-8.3,154.5,55.0,2026,4,10,6,4,3
Cyclone,-8.4,154.3,45.0,2026,4,10,12,4,3
Cyclone,-8.2,154.2,40.0,2026,4,10,18,4,3
Cyclone,-7.8,154.6,35.0,2026,4,11,0,5,3
Other,27.607297,-81.172485,1800.0,2026,4,3,19,4,1
Wildfire,26.228889,-81.279167,511.0,2026,4,3,15,4,1
Wildfire,33.891678,-117.078415,4176.0,2026,4,3,14,4,1
Other,42.8455985,-88.630401,802.3,2026,4,3,13,4,1
Wildfire,27.652481,-81.350623,2712.0,2026,4,2,17,3,1
Other,45.7153853,-92.6888328,655.7,2026,4,2,11,3,1
Other,31.407942,-95.537898,1000.0,2026,4,2,10,3,1
Other,34.800258,-94.327475,1402.0,2026,4,1,9,2,1
Wildfire,38.396085,-75.97625,1500.0,2026,3,31,13,1,1
Other,32.667308,-94.104296,509.0,2026,3,31,10,1,1
Other,34.421667,-81.528333,606.3,2026,3,31,7,1,1
Wildfire,35.0475,-95.3977778,505.0,2026,3,30,19,0,1
Wildfire,33.4077778,-86.5408333,2500.0,2026,3,30,15,0,1
Wildfire,32.2358333,-87.915,570.0,2026,3,30,12,0,1
Other,34.805454,-94.248164,1888.0,2026,3,30,11,0,1
Other,31.347207,-95.258555,1373.0,2026,3,30,10,0,1
Other,34.564167,-93.801389,3795.0,2026,3,30,9,0,1
Other,31.5429,-88.8988,1444.0,2026,3,30,9,0,1
Other,33.1173,-83.6958,501.0,2026,3,30,9,0,1
Other,31.413583,-94.193667,1667.0,2026,3,30,9,0,1
Wildfire,31.4411111,-82.5197222,1279.0,2026,3,29,21,6,1
Wildfire,36.31295,-81.1739,600.0,2026,3,29,18,6,1
Other,39.474996,-82.146232,2006.0,2026,3,29,17,6,1
Other,39.449275,-82.124323,728.0,2026,3,29,17,6,1
Other,38.3132,-86.6787,633.0,2026,3,29,15,6,1
Other,33.376697,-83.41644,1501.0,2026,3,29,14,6,1
Wildfire,40.496668,-99.615742,1200.0,2026,3,29,11,6,1
Other,44.2254153,-90.2632005,609.2,2026,3,29,9,6,1
Other,36.800278,-92.754167,2134.0,2026,3,29,8,6,1
Wildfire,36.5468,-96.077,1810.0,2026,3,28,18,5,1
Wildfire,36.820957,-96.45943,2910.0,2026,3,28,17,5,1
Other,45.526033,-113.921867,1300.0,2026,3,27,18,4,1
Wildfire,35.146209,-103.285447,3668.0,2026,3,27,15,4,1
Wildfire,33.374444,-89.955556,1500.0,2026,3,27,15,4,1
Other,30.3957,-94.34081,650.0,2026,3,27,12,4,1
Other,48.604201,-118.293279,531.0,2026,3,27,11,4,1
Wildfire,33.3744444,-89.9555556,1500.0,2026,3,27,10,4,1
Wildfire,38.20875,-98.47647,500.0,2026,3,27,9,4,1
Wildfire,35.0533333,-95.3672222,1208.0,2026,3,27,3,4,1
Wildfire,36.9369444,-95.0955556,600.0,2026,3,26,20,3,1
Wildfire,36.4778,-96.6398,2486.0,2026,3,26,18,3,1
Wildfire,36.005,-98.3569444,620.0,2026,3,26,16,3,1
Wildfire,47.885474,-95.257567,658.0,2026,3,26,10,3,1
Other,31.736,-90.734,555.0,2026,3,26,9,3,1
Wildfire,42.001111,-101.760772,13805.0,2026,3,26,9,3,1
Wildfire,42.021944,-101.927778,37150.0,2026,3,26,9,3,1
Other,32.036667,-92.825556,1816.0,2026,3,26,9,3,1
Other,31.103717,-94.35225,5010.0,2026,3,26,9,3,1
Other,31.135,-92.646933,925.0,2026,3,26,8,3,1
Other,34.588056,-81.635,1059.0,2026,3,26,7,3,1
Wildfire,34.7991667,-95.5319444,1216.0,2026,3,26,4,3,1
Wildfire,37.846389,-104.638056,638.0,2026,3,25,20,2,1
Wildfire,31.131093,-95.158513,815.0,2026,3,25,18,2,1
Other,33.240418,-83.476397,878.0,2026,3,25,18,2,1
Wildfire,31.83,-86.9869444,708.0,2026,3,25,13,2,1
Other,34.365,-87.2674,809.0,2026,3,25,11,2,1
Other,31.189088,-94.886818,4234.0,2026,3,25,10,2,1
Other,40.400583,-89.8787,1750.0,2026,3,25,9,2,1
Other,34.818241,-94.318322,3264.0,2026,3,25,9,2,1
Other,34.425278,-93.545833,3812.0,2026,3,25,8,2,1
Other,34.669806,-93.46725,2511.0,2026,3,25,8,2,1
Other,37.878829,-83.68166,1081.0,2026,3,25,6,2,1
Wildfire,29.0691667,-82.5494444,572.98,2026,3,24,19,1,1
Other,33.117915,-83.494928,1014.0,2026,3,24,18,1,1
Other,34.130612,-109.79702,1014.0,2026,3,24,18,1,1
Other,47.625617,-108.900717,2210.0,2026,3,24,16,1,1
Other,38.718611,-82.506944,846.0,2026,3,24,15,1,1
Wildfire,36.1373333,-95.1038333,1309.0,2026,3,24,15,1,1
Wildfire,36.627446,-96.125892,698.0,2026,3,24,14,1,1
Wildfire,35.71033333,-101.4915333,2937.0,2026,3,24,13,1,1
Wildfire,36.4916,-96.15697,568.0,2026,3,24,13,1,1
Other,34.822777,-94.194099,3009.0,2026,3,24,10,1,1
Other,35.7401,-94.3509,2343.0,2026,3,24,9,1,1
Other,34.584167,-93.668056,698.0,2026,3,24,9,1,1
Other,34.6885,-95.6025,1369.0,2026,3,24,8,1,1
Other,37.598086,-80.063054,1193.0,2026,3,24,7,1,1
Other,33.169817,-83.674067,2245.0,2026,3,24,7,1,1
Wildfire,35.0336111,-95.2988889,600.0,2026,3,24,2,1,1
Wildfire,35.6228333,-94.7365,712.0,2026,3,23,20,0,1
Wildfire,36.1103333,-94.7343333,1250.0,2026,3,23,19,0,1
Wildfire,35.5188889,-96.4380556,2068.0,2026,3,23,17,0,1
Wildfire,34.2797222,-85.4469444,500.0,2026,3,23,17,0,1
Other,37.977383,-80.131283,770.0,2026,3,23,16,0,1
Other,37.024717,-91.245283,659.0,2026,3,23,16,0,1
Wildfire,35.207222,-95.987222,2026.0,2026,3,23,14,0,1
Wildfire,35.203333,-95.803611,680.0,2026,3,23,14,0,1
Other,32.3396,-89.3958,1777.0,2026,3,23,10,0,1
Wildfire,35.6081667,-94.7688333,600.0,2026,3,23,10,0,1
Other,30.671033,-89.0925,802.0,2026,3,23,10,0,1
Other,37.99645,-90.96295,1469.0,2026,3,23,10,0,1
Other,36.059167,-93.163889,700.0,2026,3,23,9,0,1
Other,31.529,-88.913,1600.0,2026,3,23,9,0,1
Other,35.2159,-83.5877,1025.0,2026,3,23,8,0,1
Wildfire,35.6419444,-94.6327778,560.0,2026,3,23,8,0,1
Wildfire,36.0330556,-94.8066667,1126.4,2026,3,23,8,0,1
Other,34.636389,-81.650833,1132.0,2026,3,23,7,0,1
Other,33.17875,-79.537472,1162.0,2026,3,23,7,0,1
Wildfire,35.015,-96.9775,857.0,2026,3,22,20,6,1
Other,37.384629,-88.701897,1382.0,2026,3,22,17,6,1
Other,33.161772,-83.789,1203.0,2026,3,22,16,6,1
Wildfire,36.0866667,-99.2852778,623.0,2026,3,22,16,6,1
Wildfire,34.8483333,-88.7819444,802.0,2026,3,22,15,6,1
Wildfire,30.5072222,-85.3222222,500.0,2026,3,22,13,6,1
Other,33.1396,-83.7338,809.0,2026,3,22,9,6,1
Other,33.320013,-83.461761,920.0,2026,3,22,9,6,1
Other,36.892,-82.462667,1513.0,2026,3,22,8,6,1
Other,38.416361,-79.283194,1513.0,2026,3,22,8,6,1
Other,34.555278,-93.309722,3577.0,2026,3,22,8,6,1
Other,34.778333,-77.1,924.0,2026,3,22,7,6,1
Wildfire,34.3602778,-95.5191667,1600.0,2026,3,22,0,6,1
Wildfire,44.860117,-108.222067,1915.0,2026,3,21,23,5,1
Wildfire,37.6749,-96.5991,1557.0,2026,3,21,18,5,1
Other,33.41174,-83.414038,1293.0,2026,3,21,16,5,1
Other,34.806,-94.216,652.0,2026,3,21,9,5,1
Other,34.882067,-93.870917,1033.0,2026,3,21,9,5,1
Other,31.740833,-92.445278,1455.0,2026,3,21,9,5,1
Wildfire,33.364143,-85.917891,1020.0,2026,3,21,9,5,1
Wildfire,34.2769444,-85.4477778,509.0,2026,3,21,9,5,1
Other,32.674783,-87.055383,1300.0,2026,3,21,9,5,1
Other,35.220783,-84.254,1903.0,2026,3,21,8,5,1
Wildfire,36.426885,-96.280622,5000.0,2026,3,21,8,5,1
Other,36.90875,-82.450217,1400.0,2026,3,21,7,5,1
Other,34.644444,-81.683333,607.0,2026,3,21,7,5,1
Other,37.655333,-80.07,502.0,2026,3,21,7,5,1
Other,33.0131,-83.6682,572.0,2026,3,20,20,4,1
Other,33.1793,-83.480883,2200.0,2026,3,20,20,4,1
Other,33.705185,-96.789282,746.0,2026,3,20,19,4,1
Wildfire,42.90757,-106.14654,6287.0,2026,3,20,17,4,1
Other,37.830978,-89.513588,1318.0,2026,3,20,17,4,1
Other,34.882067,-93.870917,837.0,2026,3,20,16,4,1
Other,34.768276,-93.97866,1613.0,2026,3,20,16,4,1
Wildfire,36.4266,-96.280967,5000.0,2026,3,20,16,4,1
Other,32.45655,-107.62402,3200.0,2026,3,20,16,4,1
Other,33.441667,-85.908056,2442.0,2026,3,20,12,4,1
Other,36.955356,-90.68759,702.0,2026,3,20,12,4,1
Other,31.372,-91.077,771.0,2026,3,20,10,4,1
Other,31.469917,-93.809533,2333.0,2026,3,20,9,4,1
Other,31.4912,-88.7483,1105.0,2026,3,20,9,4,1
Other,34.30163,-87.2295,854.0,2026,3,20,9,4,1
Other,35.220262,-93.365711,674.0,2026,3,20,9,4,1
Other,32.888971,-87.028753,1048.0,2026,3,20,8,4,1
Other,34.638603,-93.411794,2088.0,2026,3,20,8,4,1
Other,34.411944,-94.313611,918.0,2026,3,20,8,4,1
Other,34.338967,-94.71035,500.0,2026,3,20,8,4,1
Other,33.943442,-82.402642,572.0,2026,3,20,7,4,1
Other,33.931944,-82.478506,704.0,2026,3,20,7,4,1
Other,34.467222,-81.575,1293.0,2026,3,20,7,4,1
Other,37.432883,-91.098967,1410.0,2026,3,19,20,3,1
Other,33.1448,-83.7738,509.0,2026,3,19,18,3,1
Other,37.44427,-88.552696,869.0,2026,3,19,16,3,1
Other,36.890617,-90.526367,1438.0,2026,3,19,15,3,1
Wildfire,30.310367,-84.812867,1752.0,2026,3,19,14,3,1
Other,33.235117,-83.812067,1896.0,2026,3,19,11,3,1
Other,34.5875,-93.784444,2112.0,2026,3,19,10,3,1
Other,34.314694,-87.3185,807.0,2026,3,19,10,3,1
Other,33.380666,-85.906632,1692.0,2026,3,19,10,3,1
Other,32.127716,-92.874123,1405.0,2026,3,19,10,3,1
Other,31.25011,-95.187895,4029.0,2026,3,19,10,3,1
Other,31.27175,-93.7682,2280.0,2026,3,19,9,3,1
Other,34.642028,-93.5005,1688.0,2026,3,19,9,3,1
Other,33.81055556,-95.70388889,750.0,2026,3,19,9,3,1
Other,34.768276,-93.97866,2490.0,2026,3,19,9,3,1
Other,30.525217,-95.635033,973.0,2026,3,19,9,3,1
Other,35.257,-93.4343,1651.0,2026,3,19,9,3,1
Other,32.981519,-87.507098,1467.0,2026,3,19,8,3,1
Other,31.1053,-92.616,764.0,2026,3,19,8,3,1
Other,35.7,-93.911,1400.0,2026,3,19,8,3,1
Other,36.4452,-94.0487,537.0,2026,3,19,8,3,1
Other,34.958417,-93.514833,1880.0,2026,3,19,8,3,1
Wildfire,36.3578,-96.3132,5000.0,2026,3,18,17,2,1
Other,31.356667,-110.305833,1255.0,2026,3,18,14,2,1
Other,31.581389,-110.331944,630.0,2026,3,18,14,2,1
Other,33.2402,-83.520117,1345.0,2026,3,18,13,2,1
Wildfire,38.527029,-104.963722,7385.0,2026,3,18,13,2,1
Other,34.3097,-110.8792,876.0,2026,3,18,11,2,1
Other,31.302,-90.998,947.0,2026,3,18,10,2,1
Other,33.9493,-88.9175,1037.0,2026,3,18,10,2,1
Other,32.3932,-89.6363,2139.0,2026,3,18,10,2,1
Other,31.277529,-95.202153,1693.0,2026,3,18,9,2,1
Other,31.478816,-95.287414,1277.0,2026,3,18,9,2,1
Other,30.535383,-95.71155,1662.0,2026,3,18,9,2,1
Other,33.2,-86.1,672.0,2026,3,18,9,2,1
Other,36.285056,-94.821583,1185.0,2026,3,18,9,2,1
Other,34.7039,-95.5726,1534.0,2026,3,18,9,2,1
Other,31.714333,-93.958717,1401.0,2026,3,18,9,2,1
Other,35.1505,-93.3897,954.0,2026,3,18,9,2,1
Other,38.026954,-89.511504,588.0,2026,3,18,9,2,1
Other,35.687897,-93.028483,1138.0,2026,3,18,9,2,1
Other,31.015383,-92.61045,1025.0,2026,3,18,9,2,1
Wildfire,35.285278,-95.921667,1026.8,2026,3,18,9,2,1
Other,33.002553,-87.498451,1602.0,2026,3,18,9,2,1
Other,31.44231,-92.340505,943.0,2026,3,18,8,2,1
