event,date,magnitude,lat,lon
"Ambrym Volcano, Vanuatu",2026-01-08T00:00:00Z,,-16.25,168.12
"Mayon Volcano, Philippines",2026-01-07T00:00:00Z,,13.257,123.685
"Masaya Volcano, Nicaragua",2026-01-02T00:00:00Z,,11.9844,-86.1688
"Sabancaya Volcano, Peru",2025-12-29T00:00:00Z,,-15.787,-71.857
"Nyamulagira Volcano, DR Congo",2025-12-07T00:00:00Z,,-1.408,29.2
"Ambae Volcano, Vanuatu",2025-12-03T00:00:00Z,,-15.389,167.835
"Puracé Volcano, Colombia",2025-12-02T00:00:00Z,,2.3095,-76.3948
"Manam Volcano, Papua New Guinea",2025-11-30T00:00:00Z,,-4.08,145.037
"Barren Island Volcano, India",2025-11-29T00:00:00Z,,12.278,93.858
"Hayli Gubbi Volcano, Ethiopia",2025-11-23T12:23:00Z,,13.5111,40.7161
"Planchón-Peteroa Volcano, Chile",2025-11-13T00:00:00Z,,-35.223,-70.568
"Kanlaon Volcano, Philippines",2025-09-10T00:00:00Z,,10.4096,123.13
"Ioto Volcano, Japan",2025-09-01T00:00:00Z,,24.751,141.289
"Dempo Volcano, Indonesia",2025-08-29T00:00:00Z,,-4.016,103.121
"Bagana Volcano, Papua New Guinea",2025-08-28T00:00:00Z,,-6.137,155.196
"Whakaari/White Island Volcano, New Zealand",2025-08-28T00:00:00Z,,-37.52,177.18
"Krasheninnikov Volcano, Russia",2025-08-25T00:00:00Z,,54.596,160.27
"Nevado del Ruiz Volcano, Colombia",2025-08-11T00:00:00Z,,4.892,-75.324
"Reykjanes Volcano, Iceland",2025-07-16T00:00:00Z,,63.817,-22.717
"Telica Volcano, Nicaragua",2025-07-14T00:00:00Z,,12.606,-86.84
"Kirishimayama Volcano, Japan",2025-06-22T00:00:00Z,,31.934,130.862
"Popocatepetl Volcano, Mexico",2025-04-10T00:00:00Z,,19.023,-98.622
"Poas Volcano, Costa Rica",2025-04-09T00:00:00Z,,10.2,-84.233
"Lewotolok Volcano, Indonesia",2025-02-19T00:00:00Z,,-8.274,123.508
"Yasur Volcano, Vanuatu",2024-12-31T00:00:00Z,,-19.532,169.447
"Kilauea Volcano, Hawaii",2024-12-23T00:00:00Z,,19.421,-155.287
"Home Reef Volcano, Tonga",2024-12-12T00:00:00Z,,-18.992,-174.775
"Sheveluch Volcano, Russia",2024-08-17T00:00:00Z,,56.653,161.36
"Suwanosejima Volcano, Japan",2024-08-02T00:00:00Z,,29.638,129.714
"Bezymianny Volcano, Russia",2024-07-24T00:00:00Z,,55.972,160.595
"Etna Volcano, Italy",2024-06-06T00:00:00Z,,37.748,14.999
"Lewotobi Volcano, Indonesia",2023-12-28T00:00:00Z,,-8.542,122.775
"Marapi Volcano, Indonesia",2023-12-03T00:00:00Z,,-0.38,100.474
"Dukono Volcano, Indonesia",2023-11-07T00:00:00Z,,1.6992,127.8783
"Ibu Volcano, Indonesia",2023-06-06T00:00:00Z,,1.488,127.63
"Stromboli Volcano, Italy",2022-08-07T00:00:00Z,,38.789,15.213
"Aira Volcano, Japan",2022-06-27T00:00:00Z,,31.593,130.657
"Great Sitkin Volcano, Andreanof Islands (U.S.)",2021-10-19T09:49:45Z,,52.076,-176.13
"Merapi Volcano, Indonesia",2021-01-07T00:00:00Z,,-7.54,110.446
"Santa Maria Volcano, Guatemala",2020-03-18T00:00:00Z,,14.757,-91.552
"Semeru Volcano, Indonesia",2020-01-18T00:00:00Z,,-8.108,112.922
"Reventador Volcano, Ecuador",2019-07-10T00:00:00Z,,-0.07,-77.65
"Sangay Volcano, Ecuador",2019-03-26T09:19:10Z,,-2.005,-78.341
"Fuego Volcano, Guatemala",2002-01-04T00:00:00Z,,14.473,-90.88
