event,date,magnitude,lat,lon
Iceberg A85,2025-02-21T00:00:00Z,30.0,-77.51,-48.54
Iceberg A85,2025-03-06T00:00:00Z,30.0,-76.96,-49.4
Iceberg A85,2025-03-13T00:00:00Z,30.0,-76.66,-51.03
Iceberg A85,2025-03-27T00:00:00Z,30.0,-76.16,-53.15
Iceberg A85,2025-04-11T00:00:00Z,30.0,-75.8,-54.47
Iceberg A85,2025-05-22T00:00:00Z,30.0,-75.23,-54.83
Iceberg A85,2025-06-05T00:00:00Z,30.0,-74.67,-53.83
Iceberg A85,2025-06-20T00:00:00Z,30.0,-74.18,-53.52
Iceberg A85,2025-07-31T00:00:00Z,30.0,-73.38,-54.34
Iceberg A85,2025-08-08T00:00:00Z,30.0,-72.84,-54.79
Iceberg A85,2025-08-21T00:00:00Z,30.0,-72.37,-54.56
Iceberg A85,2025-08-28T00:00:00Z,30.0,-71.91,-54.06
Iceberg A85,2025-09-11T00:00:00Z,30.0,-71.12,-53.84
Iceberg A85,2025-09-26T00:00:00Z,30.0,-70.43,-54.16
Iceberg A85,2025-10-09T00:00:00Z,30.0,-70.0,-54.74
Iceberg A85,2025-10-16T00:00:00Z,30.0,-69.44,-55.01
Iceberg A85,2025-11-07T00:00:00Z,30.0,-68.89,-55.23
Iceberg A85,2025-11-21T00:00:00Z,30.0,-68.06,-55.04
Iceberg A85,2025-12-18T00:00:00Z,30.0,-68.44,-55.69
Iceberg A85,2026-03-20T00:00:00Z,30.0,-68.57,-56.94
Iceberg A84,2025-01-31T00:00:00Z,144.0,-72.69,-75.8
Iceberg A84,2025-02-06T00:00:00Z,144.0,-72.19,-77.85
Iceberg A84,2025-02-14T00:00:00Z,144.0,-72.06,-79.81
Iceberg A84,2025-02-28T00:00:00Z,72.0,-72.88,-81.03
Iceberg A84,2025-03-13T00:00:00Z,72.0,-73.6,-82.43
Iceberg A84,2025-03-21T00:00:00Z,72.0,-73.44,-84.35
Iceberg A84,2025-04-04T00:00:00Z,72.0,-72.86,-86.23
Iceberg A84,2025-04-11T00:00:00Z,72.0,-72.71,-87.79
Iceberg A84,2025-04-18T00:00:00Z,72.0,-72.11,-90.64
Iceberg A84,2025-04-24T00:00:00Z,72.0,-72.4,-91.86
Iceberg A84,2025-05-09T00:00:00Z,72.0,-72.42,-93.89
Iceberg A84,2025-05-16T00:00:00Z,72.0,-72.04,-94.85
Iceberg A84,2026-01-02T00:00:00Z,72.0,-71.64,-96.27
Iceberg A84,2026-01-30T00:00:00Z,72.0,-71.61,-100.25
Iceberg A84,2026-02-26T00:00:00Z,72.0,-72.35,-103.78
Iceberg A84,2026-03-26T00:00:00Z,72.0,-73.1,-103.89
Iceberg A84,2026-04-10T00:00:00Z,72.0,-73.86,-104.89
Iceberg A83,2024-05-24T00:00:00Z,140.0,-75.37,-25.55
Iceberg A83,2024-12-13T00:00:00Z,84.0,-76.09,-28.6
Iceberg A83,2025-01-23T00:00:00Z,84.0,-76.37,-30.23
Iceberg A83,2025-02-14T00:00:00Z,84.0,-76.88,-33.21
Iceberg A83,2025-02-21T00:00:00Z,84.0,-77.38,-34.86
Iceberg A83,2025-04-04T00:00:00Z,84.0,-77.4,-38.7
Iceberg A83,2025-04-24T00:00:00Z,84.0,-76.79,-40.37
Iceberg A83,2025-05-02T00:00:00Z,84.0,-77.15,-41.65
Iceberg A83,2025-05-22T00:00:00Z,84.0,-76.2,-42.16
Iceberg A83,2025-05-29T00:00:00Z,84.0,-75.59,-41.21
Iceberg A83,2025-06-05T00:00:00Z,84.0,-74.82,-40.74
Iceberg A83,2025-06-12T00:00:00Z,84.0,-74.12,-40.94
Iceberg A83,2025-06-20T00:00:00Z,84.0,-73.63,-41.21
Iceberg A83,2025-07-31T00:00:00Z,84.0,-73.76,-43.33
Iceberg A83,2025-08-08T00:00:00Z,84.0,-73.29,-43.92
Iceberg A83,2025-08-21T00:00:00Z,84.0,-72.6,-45.89
Iceberg A83,2025-08-28T00:00:00Z,84.0,-72.1,-45.93
Iceberg A83,2025-09-11T00:00:00Z,84.0,-71.05,-46.02
Iceberg A83,2025-09-26T00:00:00Z,84.0,-70.53,-46.21
Iceberg A83,2025-10-16T00:00:00Z,84.0,-70.12,-48.39
Iceberg A83,2025-11-14T00:00:00Z,84.0,-70.05,-50.1
Iceberg A83,2025-11-21T00:00:00Z,84.0,-69.41,-50.78
Iceberg A83,2025-12-26T00:00:00Z,84.0,-69.85,-51.5
Iceberg A83,2026-01-09T00:00:00Z,84.0,-69.19,-52.2
Iceberg A83,2026-02-06T00:00:00Z,84.0,-68.55,-51.87
Iceberg A83,2026-02-13T00:00:00Z,84.0,-68.11,-52.31
Iceberg A83,2026-03-13T00:00:00Z,84.0,-67.48,-52.08
Iceberg A81,2023-01-27T00:00:00Z,700.0,-75.66,-27.16
Iceberg A81,2023-02-24T00:00:00Z,700.0,-76.01,-28.83
Iceberg A81,2023-03-10T00:00:00Z,700.0,-76.37,-30.79
Iceberg A81,2023-03-31T00:00:00Z,700.0,-76.8,-33.68
Iceberg A81,2023-04-07T00:00:00Z,700.0,-77.18,-34.92
Iceberg A81,2023-04-28T00:00:00Z,700.0,-77.59,-36.06
Iceberg A81,2023-05-26T00:00:00Z,700.0,-77.69,-38.53
Iceberg A81,2023-06-15T00:00:00Z,700.0,-77.54,-40.51
Iceberg A81,2023-07-14T00:00:00Z,700.0,-77.38,-42.95
Iceberg A81,2023-07-28T00:00:00Z,700.0,-77.69,-39.22
Iceberg A81,2023-08-04T00:00:00Z,700.0,-77.08,-44.49
Iceberg A81,2023-09-22T00:00:00Z,700.0,-76.69,-45.63
Iceberg A81,2023-10-26T00:00:00Z,700.0,-76.47,-48.51
Iceberg A81,2024-03-07T00:00:00Z,700.0,-75.98,-47.68
Iceberg A81,2024-12-13T00:00:00Z,700.0,-69.42,-57.72
Iceberg A81,2025-02-21T00:00:00Z,700.0,-69.67,-58.91
Iceberg A81,2025-03-13T00:00:00Z,700.0,-69.19,-58.84
