event,date,magnitude,lat,lon
Iceberg C18C,2025-10-31T00:00:00Z,25.93,-66.89,65.58
Iceberg C18C,2025-11-14T00:00:00Z,20.0,-66.73,63.9
Iceberg C18C,2025-11-21T00:00:00Z,20.0,-66.63,62.44
Iceberg C18C,2025-11-28T00:00:00Z,20.0,-66.75,60.51
Iceberg C18C,2025-12-05T00:00:00Z,20.0,-66.43,58.76
Iceberg C18C,2025-12-12T00:00:00Z,20.0,-66.1,57.75
Iceberg C18C,2025-12-26T00:00:00Z,20.0,-65.81,56.88
Iceberg C18C,2026-01-16T00:00:00Z,20.0,-65.26,54.0
Iceberg C18C,2026-02-06T00:00:00Z,20.0,-64.81,53.92
Iceberg C18C,2026-02-26T00:00:00Z,20.0,-65.4,52.75
Iceberg C18C,2026-03-06T00:00:00Z,20.0,-65.75,51.67
Iceberg C18C,2026-03-20T00:00:00Z,20.0,-66.04,50.08
Iceberg C18C,2026-03-26T00:00:00Z,20.0,-66.61,47.82
Iceberg C18C,2026-04-10T00:00:00Z,20.0,-67.16,44.61
Iceberg C39,2022-04-29T00:00:00Z,120.0,-65.68,99.61
Iceberg C39,2023-02-03T00:00:00Z,105.0,-65.16,99.15
Iceberg C39,2023-08-11T00:00:00Z,120.0,-64.78,98.37
Iceberg C39,2025-04-24T00:00:00Z,120.0,-64.27,97.94
Iceberg C39,2025-05-02T00:00:00Z,120.0,-64.34,95.86
Iceberg C39,2025-05-09T00:00:00Z,120.0,-65.05,92.92
Iceberg C39,2025-05-22T00:00:00Z,120.0,-65.46,90.81
Iceberg C39,2025-05-29T00:00:00Z,120.0,-65.8,89.37
Iceberg C39,2025-06-05T00:00:00Z,120.0,-65.96,85.51
Iceberg C39,2025-06-20T00:00:00Z,120.0,-66.28,84.07
Iceberg C39,2025-07-11T00:00:00Z,120.0,-66.03,83.06
Iceberg C39,2025-07-31T00:00:00Z,120.0,-65.8,81.85
Iceberg C39,2025-09-04T00:00:00Z,120.0,-66.17,80.3
Iceberg C39,2025-10-09T00:00:00Z,120.0,-66.56,77.76
Iceberg C39,2025-10-16T00:00:00Z,120.0,-67.03,77.22
Iceberg C39,2025-11-21T00:00:00Z,120.0,-67.7,77.49
Iceberg C39,2026-03-20T00:00:00Z,32.0,-68.31,77.23
Iceberg C39,2026-04-10T00:00:00Z,32.0,-69.16,75.08
Iceberg C18B,2019-03-13T00:00:00Z,,-65.47,113.9
Iceberg C18B,2020-07-03T00:00:00Z,80.0,-65.3,109.47
Iceberg C18B,2020-07-10T00:00:00Z,80.0,-64.93,108.25
Iceberg C18B,2020-07-17T00:00:00Z,80.0,-64.95,105.93
Iceberg C18B,2020-07-31T00:00:00Z,80.0,-64.65,102.16
Iceberg C18B,2020-08-14T00:00:00Z,80.0,-64.95,100.94
Iceberg C18B,2020-12-04T00:00:00Z,80.0,-64.74,99.79
