event,date,magnitude,lat,lon
Iceberg D15C,2026-02-13T00:00:00Z,56.17,-66.84,81.05
Iceberg C18C,2025-10-31T00:00:00Z,25.93,-66.89,65.58
Iceberg C18C,2025-11-14T00:00:00Z,20.0,-66.73,63.9
Iceberg C18C,2025-11-21T00:00:00Z,20.0,-66.63,62.44
Iceberg C18C,2025-11-28T00:00:00Z,20.0,-66.75,60.51
Iceberg C18C,2025-12-05T00:00:00Z,20.0,-66.43,58.76
Iceberg C18C,2025-12-12T00:00:00Z,20.0,-66.1,57.75
Iceberg C18C,2025-12-26T00:00:00Z,20.0,-65.81,56.88
Iceberg C18C,2026-01-16T00:00:00Z,20.0,-65.26,54.0
Iceberg C18C,2026-02-06T00:00:00Z,20.0,-64.81,53.92
Iceberg C18C,2026-02-26T00:00:00Z,20.0,-65.4,52.75
Iceberg C18C,2026-03-06T00:00:00Z,20.0,-65.75,51.67
Iceberg C18C,2026-03-20T00:00:00Z,20.0,-66.04,50.08
Iceberg C18C,2026-03-26T00:00:00Z,20.0,-66.61,47.82
Iceberg C18C,2026-04-10T00:00:00Z,20.0,-67.16,44.61
Iceberg B22H,2025-07-11T12:00:00Z,71.16,-73.71,-168.78
Iceberg B22H,2025-07-31T00:00:00Z,133.0,-73.22,-169.13
Iceberg B22H,2025-08-21T00:00:00Z,133.0,-72.46,-170.77
Iceberg B22H,2025-09-04T00:00:00Z,133.0,-72.05,-172.24
Iceberg B22H,2025-09-18T00:00:00Z,133.0,-71.78,-173.86
Iceberg B22H,2025-10-09T00:00:00Z,133.0,-71.46,-175.09
Iceberg B22H,2025-10-23T00:00:00Z,133.0,-71.23,-176.33
Iceberg B22H,2025-11-28T00:00:00Z,133.0,-71.04,-178.04
Iceberg B22H,2026-01-02T00:00:00Z,63.0,-71.47,-178.98
Iceberg B22H,2026-03-06T00:00:00Z,48.0,-71.91,-178.51
Iceberg B22H,2026-03-20T00:00:00Z,48.0,-72.28,-179.77
Iceberg B22H,2026-04-10T00:00:00Z,48.0,-72.46,178.02
Iceberg B22I,2025-07-11T00:00:00Z,31.06,-73.85,-168.96
Iceberg B22I,2025-08-08T00:00:00Z,45.0,-73.21,-168.97
Iceberg B22I,2025-08-21T00:00:00Z,45.0,-72.54,-170.25
Iceberg B22I,2025-08-28T00:00:00Z,45.0,-72.07,-170.32
Iceberg B22I,2025-09-04T00:00:00Z,45.0,-71.96,-172.39
Iceberg B22I,2025-09-11T00:00:00Z,45.0,-71.72,-173.67
Iceberg B22I,2025-10-16T00:00:00Z,45.0,-71.16,-175.21
Iceberg B22I,2025-10-31T00:00:00Z,45.0,-71.09,-177.12
Iceberg B22I,2025-11-21T00:00:00Z,45.0,-70.47,-177.14
Iceberg B22I,2025-11-28T00:00:00Z,45.0,-69.98,-178.16
Iceberg B22I,2025-12-05T00:00:00Z,45.0,-70.13,-179.71
Iceberg B22I,2026-01-02T00:00:00Z,45.0,-70.56,179.75
Iceberg B22I,2026-01-23T00:00:00Z,45.0,-70.55,-178.15
Iceberg B22I,2026-02-06T00:00:00Z,45.0,-70.0,-178.59
Iceberg B22I,2026-02-26T00:00:00Z,45.0,-69.52,-178.37
Iceberg A85,2025-02-21T00:00:00Z,30.0,-77.51,-48.54
Iceberg A85,2025-03-06T00:00:00Z,30.0,-76.96,-49.4
Iceberg A85,2025-03-13T00:00:00Z,30.0,-76.66,-51.03
Iceberg A85,2025-03-27T00:00:00Z,30.0,-76.16,-53.15
Iceberg A85,2025-04-11T00:00:00Z,30.0,-75.8,-54.47
Iceberg A85,2025-05-22T00:00:00Z,30.0,-75.23,-54.83
Iceberg A85,2025-06-05T00:00:00Z,30.0,-74.67,-53.83
Iceberg A85,2025-06-20T00:00:00Z,30.0,-74.18,-53.52
Iceberg A85,2025-07-31T00:00:00Z,30.0,-73.38,-54.34
Iceberg A85,2025-08-08T00:00:00Z,30.0,-72.84,-54.79
Iceberg A85,2025-08-21T00:00:00Z,30.0,-72.37,-54.56
Iceberg A85,2025-08-28T00:00:00Z,30.0,-71.91,-54.06
Iceberg A85,2025-09-11T00:00:00Z,30.0,-71.12,-53.84
Iceberg A85,2025-09-26T00:00:00Z,30.0,-70.43,-54.16
Iceberg A85,2025-10-09T00:00:00Z,30.0,-70.0,-54.74
Iceberg A85,2025-10-16T00:00:00Z,30.0,-69.44,-55.01
Iceberg A85,2025-11-07T00:00:00Z,30.0,-68.89,-55.23
Iceberg A85,2025-11-21T00:00:00Z,30.0,-68.06,-55.04
Iceberg A85,2025-12-18T00:00:00Z,30.0,-68.44,-55.69
Iceberg A85,2026-03-20T00:00:00Z,30.0,-68.57,-56.94
Iceberg D37,2025-02-21T00:00:00Z,210.0,-69.22,36.34
Iceberg A84,2025-01-31T00:00:00Z,144.0,-72.69,-75.8
Iceberg A84,2025-02-06T00:00:00Z,144.0,-72.19,-77.85
Iceberg A84,2025-02-14T00:00:00Z,144.0,-72.06,-79.81
Iceberg A84,2025-02-28T00:00:00Z,72.0,-72.88,-81.03
Iceberg A84,2025-03-13T00:00:00Z,72.0,-73.6,-82.43
Iceberg A84,2025-03-21T00:00:00Z,72.0,-73.44,-84.35
Iceberg A84,2025-04-04T00:00:00Z,72.0,-72.86,-86.23
Iceberg A84,2025-04-11T00:00:00Z,72.0,-72.71,-87.79
Iceberg A84,2025-04-18T00:00:00Z,72.0,-72.11,-90.64
Iceberg A84,2025-04-24T00:00:00Z,72.0,-72.4,-91.86
Iceberg A84,2025-05-09T00:00:00Z,72.0,-72.42,-93.89
Iceberg A84,2025-05-16T00:00:00Z,72.0,-72.04,-94.85
Iceberg A84,2026-01-02T00:00:00Z,72.0,-71.64,-96.27
Iceberg A84,2026-01-30T00:00:00Z,72.0,-71.61,-100.25
Iceberg A84,2026-02-26T00:00:00Z,72.0,-72.35,-103.78
Iceberg A84,2026-03-26T00:00:00Z,72.0,-73.1,-103.89
Iceberg A84,2026-04-10T00:00:00Z,72.0,-73.86,-104.89
Iceberg B22F,2024-08-15T00:00:00Z,330.0,-72.61,-127.41
Iceberg B22F,2024-12-13T00:00:00Z,330.0,-74.12,-140.7
Iceberg B22F,2024-12-26T00:00:00Z,330.0,-74.37,-143.13
Iceberg B22F,2025-01-02T00:00:00Z,330.0,-74.74,-145.92
Iceberg B22F,2025-01-31T00:00:00Z,330.0,-74.89,-148.32
Iceberg B22F,2025-02-14T00:00:00Z,330.0,-75.2,-150.91
Iceberg B22F,2025-03-06T00:00:00Z,330.0,-75.24,-153.12
Iceberg B22F,2025-03-13T00:00:00Z,330.0,-75.65,-154.11
Iceberg B22F,2025-03-27T00:00:00Z,330.0,-75.88,-155.71
Iceberg B22F,2025-04-11T00:00:00Z,330.0,-75.63,-157.47
Iceberg B22F,2025-05-09T00:00:00Z,330.0,-75.39,-160.1
Iceberg B22F,2025-05-22T00:00:00Z,330.0,-74.93,-161.44
Iceberg B22F,2025-06-05T00:00:00Z,330.0,-74.75,-163.27
Iceberg B22F,2025-06-12T00:00:00Z,330.0,-74.38,-165.79
Iceberg B22F,2025-06-27T00:00:00Z,330.0,-73.88,-167.33
Iceberg B22F,2025-07-11T00:00:00Z,330.0,-73.67,-169.21
Iceberg B22F,2025-07-31T00:00:00Z,112.0,-73.23,-169.59
Iceberg B22F,2025-08-21T00:00:00Z,112.0,-72.62,-170.96
Iceberg B22F,2025-09-04T00:00:00Z,112.0,-72.21,-171.89
Iceberg B22F,2025-09-11T00:00:00Z,112.0,-72.3,-173.36
Iceberg B22F,2025-10-09T00:00:00Z,112.0,-71.31,-173.77
Iceberg B22F,2025-10-16T00:00:00Z,112.0,-70.81,-174.64
Iceberg B22F,2025-10-31T00:00:00Z,112.0,-70.28,-177.13
Iceberg B22F,2025-11-14T00:00:00Z,112.0,-69.89,-177.85
Iceberg B22F,2025-11-28T00:00:00Z,112.0,-69.24,-177.84
Iceberg B22F,2025-12-26T00:00:00Z,112.0,-68.86,-176.57
Iceberg B22F,2026-01-02T00:00:00Z,112.0,-68.3,-176.74
Iceberg B22F,2026-02-19T00:00:00Z,112.0,-67.68,-177.25
Iceberg B22F,2026-03-06T00:00:00Z,98.0,-67.31,-178.77
Iceberg B22F,2026-03-26T00:00:00Z,98.0,-67.09,-179.86
Iceberg B22F,2026-04-10T00:00:00Z,98.0,-67.58,179.79
Iceberg B22G,2024-08-15T00:00:00Z,45.0,-72.46,-127.08
Iceberg B22G,2024-12-13T00:00:00Z,45.0,-74.03,-137.53
Iceberg B22G,2025-01-02T00:00:00Z,45.0,-74.36,-139.07
Iceberg B22G,2025-01-23T00:00:00Z,45.0,-74.53,-141.7
Iceberg B22G,2025-02-21T00:00:00Z,45.0,-74.62,-143.61
Iceberg B22G,2025-03-06T00:00:00Z,45.0,-75.38,-148.24
Iceberg B22G,2025-03-21T00:00:00Z,45.0,-75.35,-152.73
Iceberg B22G,2025-04-04T00:00:00Z,45.0,-75.34,-154.86
Iceberg B22G,2025-05-02T00:00:00Z,45.0,-74.88,-156.3
Iceberg B22G,2025-05-16T00:00:00Z,45.0,-74.38,-157.83
Iceberg B22G,2025-05-22T00:00:00Z,45.0,-74.0,-158.76
Iceberg B22G,2025-06-05T00:00:00Z,45.0,-73.79,-161.08
Iceberg B22G,2025-06-12T00:00:00Z,45.0,-73.35,-163.06
Iceberg B22G,2025-06-27T00:00:00Z,45.0,-72.55,-163.83
Iceberg B22G,2025-07-18T00:00:00Z,45.0,-72.14,-162.07
Iceberg B22G,2025-07-31T00:00:00Z,45.0,-71.52,-162.34
Iceberg B22G,2025-08-08T00:00:00Z,45.0,-71.28,-160.83
Iceberg B22G,2025-08-14T00:00:00Z,45.0,-71.07,-162.22
Iceberg B22G,2025-08-28T00:00:00Z,45.0,-70.61,-161.82
Iceberg B22G,2025-09-11T00:00:00Z,45.0,-71.05,-160.39
Iceberg B22G,2025-09-18T00:00:00Z,45.0,-71.25,-162.1
Iceberg B22G,2025-10-09T00:00:00Z,45.0,-70.25,-160.55
Iceberg B22G,2025-10-16T00:00:00Z,45.0,-70.09,-159.26
Iceberg B22G,2025-11-14T00:00:00Z,45.0,-69.62,-161.18
Iceberg B22G,2025-12-18T00:00:00Z,45.0,-69.43,-159.78
Iceberg B22G,2026-02-26T00:00:00Z,45.0,-68.77,-159.71
Iceberg A83,2024-05-24T00:00:00Z,140.0,-75.37,-25.55
Iceberg A83,2024-12-13T00:00:00Z,84.0,-76.09,-28.6
Iceberg A83,2025-01-23T00:00:00Z,84.0,-76.37,-30.23
Iceberg A83,2025-02-14T00:00:00Z,84.0,-76.88,-33.21
Iceberg A83,2025-02-21T00:00:00Z,84.0,-77.38,-34.86
Iceberg A83,2025-04-04T00:00:00Z,84.0,-77.4,-38.7
Iceberg A83,2025-04-24T00:00:00Z,84.0,-76.79,-40.37
Iceberg A83,2025-05-02T00:00:00Z,84.0,-77.15,-41.65
Iceberg A83,2025-05-22T00:00:00Z,84.0,-76.2,-42.16
Iceberg A83,2025-05-29T00:00:00Z,84.0,-75.59,-41.21
