event,date,magnitude,lat,lon
"LIRI NE Complex RX Prescribed Fire, Cherokee, Alabama",2026-03-01T16:10:00Z,500.0,34.41472200000004,-85.593056
"Moon Complex Incident Complex, Curry, Oregon",2025-09-04T19:25:00Z,1506.75,42.687458,-123.915264
"Green Rattle Complex Incident Complex, Bonner, Idaho",2025-09-04T14:41:00Z,571.0,48.267881,-116.121362
"TCU SEPTEMBER LIGHTNING COMPLEX Incident Complex, Tuolumne, California",2025-09-02T18:36:00Z,13790.62,37.909117,-120.512173
"SWIFT COMPLEX Incident Complex, Trinity, California",2025-09-01T16:02:00Z,538.0,40.967679,-122.804478
"Goldrun Complex Incident Complex, Northwest Arctic, Alaska",2025-07-09T15:50:00Z,21218.98,67.229706,-158.898927
"Grizzly Complex Incident Complex, Jackson, Oregon",2025-07-08T22:31:00Z,923.5,42.0541864,-122.2936161
"Orleans Complex Incident Complex, Siskiyou, California",2025-07-08T20:33:00Z,7319.0,41.406725,-123.588684
"MARBLE COMPLEX Incident Complex, Siskiyou, California",2025-07-03T14:22:00Z,515.0,41.4258333,-123.1997222
"Nenana Ridge Complex Incident Complex, Fairbanks North Star, Alaska",2025-06-22T00:19:00Z,6430.26,64.724717,-148.602775
"Roundabout Complex Incident Complex, Yukon-Koyukuk, Alaska",2025-06-21T20:03:00Z,14079.16,65.851001,-156.590973
"Ptarmigan Complex Incident Complex, Yukon-Koyukuk, Alaska",2025-06-20T21:51:00Z,13498.45,65.631179,-144.510988
"Table Rock Complex Wildfire, Greenville, South Carolina",2025-03-24T15:40:00Z,10671.0,35.064545,-82.645834
"FLW Range Complex Unit C RX Wildfire, Pulaski, Missouri",2025-03-09T11:54:00Z,2313.0,37.667337,-92.136834
"South Selway Complex Wildfire, Idaho, Idaho",2024-09-06T14:50:00Z,1262.7,46.028452,-114.993138
"Cross L Complex Wildfire, Union, New Mexico",2024-08-23T10:48:00Z,1500.0,36.949423,-103.690096
"MIDDLE FORK COMPLEX Wildfire, Boise, Idaho",2024-08-08T18:30:00Z,4469.0,44.171802,-115.797332
"Winding Waters Complex Wildfire, Wallowa, Oregon",2024-07-27T23:28:00Z,565.0,45.2094444,-117.3905556
"Winding Waters Complex Wildfire, Wallowa, Oregon",2024-07-27T11:57:00Z,752.0,45.66383,-117.600113
"Bluff Creek Complex Wildfire, Shoshone, Idaho",2024-07-27T10:28:00Z,550.0,47.131229,-115.782938
"BADLAND COMPLEX Wildfire, Baker, Oregon",2024-07-23T11:08:00Z,58943.8,44.667076,-117.29803
"GOLD COMPLEX Wildfire, Plumas, California",2024-07-22T22:09:00Z,3007.0,39.828942,-120.5414
"Homestead Complex Wildfire, Lane, Oregon",2024-07-19T16:56:00Z,1892.0,43.463055,-122.614043
"Diamond Complex Wildfire, Douglas, Oregon",2024-07-19T11:45:00Z,5486.5,43.261812,-122.284568
"Battle Mountain Complex Wildfire, Umatilla, Oregon",2024-07-18T01:00:00Z,29972.0,45.177161,-119.043789
"Grapefruit Complex Wildfire, Yukon-Koyukuk, Alaska",2024-06-29T00:41:00Z,90698.0,65.403005,-148.17641
"FRESNO JUNE LIGHTNING COMPLEX Wildfire, Fresno, California",2024-06-25T12:05:00Z,10616.0,36.715565,-119.337929
"2023 SRF Lightning Complex Wildfire, Humboldt, California",2023-08-17T13:03:00Z,50198.04,41.37,-123.6308333
