Event_type,cluster,num_events,avg_intensity,avg_lat,avg_lon,start_year,end_year,dominant_event_type,active_years,events_per_year,recent_events,growth_factor,recency_ratio,risk_score,risk_level
Prescribed_Fire,632,382,0.5395231976976039,33.89675184671467,-93.44970929141361,2025,2026,Prescribed_Fire,2,191.0,382.0,2.0,1.0,75.02,High
Wildfire,871,252,0.5456326352595723,35.49148932742064,-95.75785695769841,2024,2026,Wildfire,3,84.0,236.0,2.8095238095238093,0.9365079365079365,74.22,High
Prescribed_Fire,628,148,0.5235611331534561,33.573754085608115,-85.13432829277028,2025,2026,Prescribed_Fire,2,74.0,148.0,2.0,1.0,70.39,High
Wildfire,872,96,0.5302429421307694,31.242505200520835,-93.99506717260418,2024,2026,Wildfire,3,32.0,87.0,2.71875,0.90625,68.39,High
Wildfire,867,135,0.5317380603958151,27.97930130083008,-81.67380794576117,2024,2026,Wildfire,3,45.0,111.0,2.466666666666667,0.8222222222222222,66.5,High
Prescribed_Fire,633,37,0.536398293482772,31.474530459459462,-89.09660686486487,2025,2026,Prescribed_Fire,2,18.5,37.0,2.0,1.0,65.12,High
Wildfire,870,63,0.5229920051908193,32.218372741269846,-88.23622893333334,2024,2026,Wildfire,3,21.0,55.0,2.619047619047619,0.873015873015873,65.05,High
Iceberg_B,205,74,0.4177944544669074,-72.53594594594594,-124.85378378378378,2024,2026,Iceberg_B,3,24.666666666666668,70.0,2.8378378378378377,0.9459459459459459,64.65,High
Wildfire,843,55,0.5256902502014439,20.951306598123317,94.61227541705891,2024,2025,Wildfire,2,27.5,52.0,1.8909090909090909,0.9454545454545454,64.43,High
Prescribed_Fire,623,19,0.5696899608798872,30.115667157894737,-84.321376,2025,2026,Prescribed_Fire,2,9.5,19.0,2.0,1.0,63.73,High
Prescribed_Fire,626,12,0.5969183519175109,25.98627925,-81.02691116666666,2025,2026,Prescribed_Fire,2,6.0,12.0,2.0,1.0,63.03,High
Wildfire,866,22,0.6308863726122013,42.48228546681818,-100.71596917727274,2024,2026,Wildfire,3,7.333333333333333,18.0,2.4545454545454546,0.8181818181818182,62.79,High
Prescribed_Fire,625,21,0.5168372499453248,27.711772571428572,-81.21389085714286,2025,2026,Prescribed_Fire,2,10.5,21.0,2.0,1.0,62.12,High
Iceberg_A,102,131,0.36344536700823843,-69.1469465648855,-49.054809160305346,2021,2026,Iceberg_A,6,21.833333333333332,90.0,4.122137404580153,0.6870229007633588,62.04,High
Prescribed_Fire,617,15,0.5260028852264675,34.47283626666667,-110.66720766666667,2025,2026,Prescribed_Fire,2,7.5,15.0,2.0,1.0,61.18,High
Complex,1,4,0.712442460429017,65.85915075,-152.15091575,2025,2025,Complex,1,4.0,4.0,1.0,1.0,60.96,High
Prescribed_Fire,622,17,0.49819449492126416,45.593404070588235,-93.65532015294117,2025,2026,Prescribed_Fire,2,8.5,17.0,2.0,1.0,60.6,High
Prescribed_Fire,616,11,0.5124520079974924,45.834033545454545,-112.8783760909091,2025,2026,Prescribed_Fire,2,5.5,11.0,2.0,1.0,59.52,High
Prescribed_Fire,615,9,0.5290091080053076,40.389942222222224,-111.53988588888889,2025,2026,Prescribed_Fire,2,4.5,9.0,2.0,1.0,59.43,High
Prescribed_Fire,621,11,0.49890033738162354,42.65735528181819,-88.41951160909092,2025,2026,Prescribed_Fire,2,5.5,11.0,2.0,1.0,59.0,High
Prescribed_Fire,627,8,0.5223813069781631,34.518945125,-89.3567695,2025,2026,Prescribed_Fire,2,4.0,8.0,2.0,1.0,58.77,High
Prescribed_Fire,620,14,0.5303238783841232,31.077026571428576,-86.63806407142856,2026,2026,Prescribed_Fire,1,14.0,14.0,1.0,1.0,58.77,High
Prescribed_Fire,612,6,0.6031054959114467,63.636762,-146.74360716666666,2026,2026,Prescribed_Fire,1,6.0,6.0,1.0,1.0,58.26,High
Prescribed_Fire,634,4,0.5564593958726687,34.94546725000001,-98.82925524999999,2025,2026,Prescribed_Fire,2,2.0,4.0,2.0,1.0,57.88,High
