Event_type,lat,lon,intensity,year,month,day,hour,dayofweek,is_weekend,cluster
Typhoon,8.3,151.5,3.58351893845611,2026,1,1,0,3,0,5132
Typhoon,8.2,151.2,3.713572066704308,2026,1,1,0,3,0,5132
Typhoon,8.2,151.0,3.828641396489095,2026,1,1,0,3,0,5132
Typhoon,8.1,150.9,4.02535169073515,2026,1,1,0,3,0,5132
Typhoon,8.0,151.0,4.110873864173311,2026,1,1,0,3,0,5132
Typhoon,8.5,151.5,4.330733340286331,2026,1,1,0,3,0,5132
Typhoon,8.8,151.4,4.394449154672439,2026,1,1,0,3,0,5132
Typhoon,9.0,151.1,4.454347296253507,2026,1,1,0,3,0,5132
Typhoon,9.3,151.5,4.564348191467836,2026,1,1,0,3,0,5132
Typhoon,9.9,151.2,4.709530201312334,2026,1,1,0,3,0,5132
Typhoon,10.3,150.6,4.875197323201151,2026,1,1,0,3,0,5132
Fire,42.9227232,-88.483243,7.227299324582662,2026,1,1,0,3,0,4774
Wildfire,36.568752,-96.849207,8.504107951867582,2026,1,1,0,3,0,-1
Wildfire,36.471122,-96.232358,8.629092283913646,2026,1,1,0,3,0,-1
Fire,31.56518,-95.13378,6.2166061010848646,2026,1,1,0,3,0,4769
Wildfire,34.435,-78.5313889,6.637258031284457,2026,1,1,0,3,0,-1
Fire,35.95415,-92.167783,7.103322062526113,2026,1,1,0,3,0,4769
Wildfire,36.695248,-96.059996,7.238496840894365,2026,1,1,0,3,0,-1
Fire,31.5102,-88.8983,6.368187186350492,2026,1,1,0,3,0,4769
Fire,31.142233,-92.634817,6.641182169740591,2026,1,1,0,3,0,4769
Fire,33.655288,-83.27194,6.778784897685177,2026,1,1,0,3,0,4770
Wildfire,35.68405,-104.67037,7.255591274253665,2026,1,1,0,3,0,-1
Other,30.492511,-94.638858,6.2166061010848646,2026,1,1,0,3,0,-1
Wildfire,36.779277,-96.225036,7.138866999945524,2026,1,1,0,3,0,-1
Fire,38.2051,-86.6266,7.154615356913663,2026,1,1,0,3,0,-1
Fire,35.1749,-93.426325,6.698268054115413,2026,1,1,0,3,0,4769
Fire,31.05635,-88.859583,7.215975002651466,2026,1,1,0,3,0,4769
Fire,32.5163,-89.6524,7.528869256642251,2026,1,1,0,3,0,4769
Fire,34.8459,-89.0287,6.839476438228843,2026,1,1,0,3,0,4770
Fire,31.402,-90.984,6.893656354602635,2026,1,1,0,3,0,4769
Fire,31.174617,-93.626833,8.201385955238608,2026,1,1,0,3,0,4769
Fire,30.529633,-95.652333,7.938445551164788,2026,1,1,0,3,0,4769
Fire,30.536367,-95.569167,6.664409020350408,2026,1,1,0,3,0,4769
Fire,34.761897,-94.096898,7.379632152609552,2026,1,1,0,3,0,4769
Fire,35.734,-93.9,7.215239978730097,2026,1,1,0,3,0,4769
Fire,34.933333,-93.666667,8.143807976771484,2026,1,1,0,3,0,4769
Fire,35.845119,-93.523297,7.466227556215481,2026,1,1,0,3,0,4769
Fire,33.155833,-86.091944,6.302618975744905,2026,1,1,0,3,0,4770
Fire,33.407033,-83.376383,7.072421900537371,2026,1,1,0,3,0,4770
Fire,46.164317,-113.877617,6.68586094706836,2026,1,1,0,3,0,-1
Fire,31.635,-90.73,6.695798917058491,2026,1,1,0,3,0,4769
Fire,32.4037,-89.5682,7.167809184316444,2026,1,1,0,3,0,4769
Fire,32.4098,-89.6599,6.658011045870748,2026,1,1,0,3,0,4769
Fire,34.7893,-89.2329,6.251903883165888,2026,1,1,0,3,0,4770
Fire,35.6695,-94.3093,7.186901020411631,2026,1,1,0,3,0,4769
Fire,35.218256,-93.395096,7.6093665379542115,2026,1,1,0,3,0,4769
Wildfire,36.539489,-96.362972,6.311734809152915,2026,1,1,0,3,0,-1
Fire,34.783517,-94.254627,8.402231172946555,2026,1,1,0,3,0,4769
Fire,30.52045,-95.728667,7.368970402194793,2026,1,1,0,3,0,4769
Fire,34.525556,-93.738056,7.738488122494646,2026,1,1,0,3,0,4769
Fire,30.524133,-95.57925,6.569481420414296,2026,1,1,0,3,0,4769
Fire,35.808903,-93.464358,6.858565034791365,2026,1,1,0,3,0,4769
Wildfire,36.463582,-96.616347,7.742835955430749,2026,1,1,0,3,0,-1
Fire,31.197633,-92.562217,7.374001859350161,2026,1,1,0,3,0,4769
Fire,34.671333,-93.484417,7.288927694521257,2026,1,1,0,3,0,4769
Wildfire,35.468784,-101.832244,7.141245122350491,2026,1,1,0,3,0,-1
